order_id,order_date,customer_id,product_id,quantity,unit_price,discount_rate
1000,2026-01-01,C001,P001,1,9.99,0.00
1001,2026-01-02,C002,P002,2,12.50,0.05
1002,2026-01-03,C003,P003,3,19.99,0.10
1003,2026-01-04,,P004,4,25.00,0.15
1004,2026-01-05,C005,P005,5,34.95,0.20
1005,2026-01-06,C006,P006,8,59.99,0.25
1006,2026-01-07,C007,P007,12,129.99,0.00
ORD-1007,2026-01-08,C008,P008,1,9.99,0.05
1008,2026-01-09,C009,P009,2,12.50,0.10
1009,2026-01-10,C010,P010,3,19.99,0.15
1010,2026-01-11,C011,P011,4,25.00,0.20
1011,2026-01-12,C012,P012,5,34.95,0.25
1012,2026-01-13,C013,P013,three,59.99,0.00
1013,2026-01-14,C014,P014,12,129.99,0.05
1014,2026-01-15,C015,P015,1,9.99,0.10
1015,2026-01-16,C016,P001,2,12.50,0.15
1016,15/01/2026,C017,P002,3,19.99,0.20
1017,2026-01-18,C018,P003,4,25.00,0.25
1018,2026-01-19,C019,P004,5,34.95,0.00
1019,2026-01-20,C020,P005,8,59.99,0.05
1020,2026-01-21,C001,P006,12,129.99,0.10
1021,2026-01-22,C002,P007,1,abc,0.15
1022,2026-01-23,C003,P008,2,12.50,0.20
1023,2026-01-24,C004,P009,3,19.99,0.25
1024,2026-01-25,C005,P010,4,25.00,0.00
1025,2026-01-26,C006,P011,5,34.95,ten percent
1026,2026-01-27,C007,P012,8,59.99,0.10
1027,2026-01-28,C008,P013,12,129.99,0.15
1028,2026-01-29,C009,P014,1,9.99,0.20
1029,2026-01-30,C010,P015,2,12.50,0.25
1030,2026-01-31,C011,P001,0,19.99,0.00
1031,2026-01-01,C012,P002,4,25.00,0.05
1032,2026-01-02,C013,P003,5,34.95,0.10
1033,2026-01-03,C014,P004,8,59.99,0.15
1034,2026-01-04,C015,P005,-3,129.99,0.20
1035,2026-01-05,C016,P006,1,9.99,0.25
1036,2026-01-06,C017,P007,2,12.50,0.00
1037,2026-01-07,C018,P008,3,19.99,0.05
1038,2026-01-08,C019,P009,4,25.00,0.10
1039,2026-01-09,C020,P010,5,0.00,0.15
1040,2026-01-10,C001,P011,8,59.99,0.20
1041,2026-01-11,C002,P012,12,129.99,0.25
1042,2026-01-12,C003,P013,1,9.99,0.00
1043,2026-01-13,C004,P014,2,-19.99,0.05
1044,2026-01-14,C005,P015,3,19.99,0.10
1045,2026-01-15,C006,P001,4,25.00,0.15
1046,2026-01-16,C007,P002,5,34.95,0.20
1047,2026-01-17,C008,P003,8,59.99,0.25
1048,2026-01-18,C009,P004,12,129.99,-0.10
1049,2026-01-19,C010,P005,1,9.99,0.05
1050,2026-01-20,C011,P006,2,12.50,0.10
1051,2026-01-21,C012,P007,3,19.99,0.15
1052,2026-01-22,C013,P008,4,25.00,1.50
1053,2026-01-23,C014,P009,5,34.95,0.25
1054,2026-01-24,C015,P010,8,59.99,0.00
1055,2026-01-25,C016,P011,12,129.99,0.05
1056,2026-01-26,C017,P012,1,9.99,0.10
1057,2026-01-27,C018,P013,2,12.50,1.00
1058,2026-01-28,C019,P014,3,19.99,0.20
1059,2026-01-29,C020,P015,4,25.00,0.25
1060,2026-01-30,C001,P001,5,34.95,0.00
1061,2026-01-31,C999,P002,8,59.99,0.05
1062,2026-01-01,C003,P003,12,129.99,0.10
1063,2026-01-02,C004,P004,1,9.99,0.15
1064,2026-01-03,C005,P005,2,12.50,0.20
1065,2026-01-04,C006,P006,3,19.99,0.25
1066,2026-01-05,C007,P999,4,25.00,0.00
1067,2026-01-06,C008,P008,5,34.95,0.05
1068,2026-01-07,C009,P009,8,59.99,0.10
1069,2026-01-08,C010,P010,12,129.99,0.15
1070,2026-09-15,C011,P011,1,9.99,0.20
1071,2026-01-10,C012,P012,2,12.50,0.25
1072,2026-01-11,C013,P013,3,19.99,0.00
1073,2026-01-12,C014,P014,4,25.00,0.05
1074,2026-01-13,C015,P015,5,34.95,0.10
1075,2025-12-28,C016,P001,8,59.99,0.15
1076,2026-01-15,C017,P002,12,129.99,0.20
1077,2026-01-16,C018,P003,1,9.99,0.25
1078,2026-01-17,C019,P004,2,12.50,0.00
1079,2026-01-18,C020,P005,5000,19.99,0.05
1080,2026-01-19,C001,P006,4,25.00,0.10
1081,2026-01-20,C002,P007,5,34.95,0.15
1082,2026-01-21,C003,P008,8,59.99,0.20
1083,2026-01-22,C004,P009,12,129.99,0.25
1084,2026-01-23,C005,P010,1,$45.00,0.00
1085,2026-01-24,C006,P011,2,12.50,0.05
1086,2026-01-25,C007,P012,3,19.99,0.10
1087,2026-01-26,C008,P013,4,25.00,0.15
1088,2026-01-27,C009,P014,5,"1,299.00",0.20
1089,2026-01-28,C010,P015,8,59.99,0.25
1090,2026-01-29,C011,P001,12,129.99,0.00
1091,2026-01-30,C012,P002,1,9.99,0.05
1092,2026-01-31,C013,P003,2,12.50,0.10
1093,2026-01-01,C014,P004,3,19.999,0.15
1094,2026-01-02,C015,P005,4,25.00,0.20
1095,2026-01-03,C016,P006,5,34.95,0.25
1096,2026-01-04,C017,P007,8,59.99,0.00
1097,,C018,P008,12,129.99,0.05
1098,2026-01-06,C019,P009,1,9.99,0.10
1099,2026-01-07,C020,P010,2,12.50,0.15
1100,2026-01-08,C001,P011,3,19.99,0.20
1101,2026-01-09,C002,P012,4,25.00,0.25
1102,2026-01-10,C003,P013,5,,0.00
1103,2026-01-11,C004,P014,8,59.99,0.05
1104,2026-01-12,C005,P015,12,129.99,0.10
1105,2026-01-13,C006,P001,1,9.99,0.15
ORD-X,2026-01-14,C007,P002,-2,12.50,0.20
1107,2026-01-15,C008,P003,3,19.99,0.25
1108,2026-01-16,C009,P004,4,25.00,0.00
1109,2026-01-17,C010,P005,5,34.95,0.05
1110,2026-01-18,C011,P006,8,59.99,0.10
1111,2026-01-19,C999,P999,12,129.99,0.15
1112,2026-01-20,C013,P008,1,9.99,0.20
1113,2026-01-21,C014,P009,2,12.50,0.25
1114,2026-01-22,C015,P010,3,19.99,0.00
1115,2026-01-23,C016,P011,0,0.00,1.00
1116,2026-01-24,C017,P012,5,34.95,0.10
1117,2026-01-25,C018,P013,8,59.99,0.15
1118,2026-01-26,C019,P014,12,129.99,0.20
1119,2026-01-27,C020,P015,1,9.99,0.25
1001,2026-01-28,C001,P001,2,12.50,0.00
1121,2026-01-29,C002,P002,3,19.99,0.05
1122,2026-01-30,C003,P003,4,25.00,0.10
1123,2026-01-31,C004,P004,5,34.95,0.15
1124,2026-01-01,C005,P005,8,59.99,0.20
1125,2026-01-02,C006,P006,12,129.99,0.25
1126,2026-01-03,C007,P007,1,9.99,0.00
1127,2026-01-04,C008,P008,2,12.50,0.05
1128,2026-01-05, C007 ,P009,3,19.99,0.10
1129,2026-01-06,C010,P010,4,25.00,0.15
1130,2026-01-07,C011,P011,5,34.95,0.20
1131,2026-01-08,C012,P012,8,59.99,0.25
1132,2026-01-09,C013,P013,12,129.99,0.00
1133,2026-01-10,C014,P014,1,9.99,0.05
1134,2026-01-11,C015,P015,2,12.50,0.10
1135,2026-01-12,C016,P001,3,19.99,0.15
1136,2026-01-13,C017,P002,4,25.00,0.20
1137,2026-01-14,C018,P003,5,34.95,0.25
1138,2026-01-15,C019,P004,8,59.99,0.00
1139,2026-01-16,C020, p012 ,12,129.99,0.05
1140,2026-01-17,C001,P006,1,9.99,0.10
1141,2026-01-18,C002,P007,2,12.50,0.15
1142,2026-01-19,C003,P008,3,19.99,0.20
1143,2026-01-20,C004,P009,4,25.00,0.25
1144,2026-01-21,C005,P010,5,34.95,0.00
1145,2026-01-22,C006,P011,8,59.99,0.05
1146,2026-01-23,C007,P012,12,129.99,0.10
1147,2026-01-24,C008,P013,1,9.99,0.15
1148,2026-01-25,C009,P014,2,12.50,0.20
1149,2026-01-26,C010,P015,3,19.99,0.25
1150,2026-01-27,C011,P001,4,25.00,0.00
1151,2026-01-28,C012,P002,5,34.95,0.05
1152,2026-01-29,C013,P003,8,59.99,0.10
1153,2026-01-30,C014,P004,12,129.99,0.15
1154,2026-01-31,C015,P005,1,9.99,0.20
1155,2026-01-01,C016,P006,2,12.50,0.25
1156,2026-01-02,C017,P007,3,19.99,0.00
1157,2026-01-03,C018,P008,4,25.00,0.05
1005,2026-01-04,C019,P009,5,34.95,0.10
